Name	B1	B2	B3	B4	B5	B6	F1	F2	F3	F4	F5	F6
Azelaic acid	5.9729540745216765	5.9594426534677485	5.985033422537444	5.997313435868878	5.973835928252796	5.986409998399876	5.572884512468153	5.609285637559724	5.70487617855251	5.587659562741599	5.582165976355316	5.607533687639268
Glyceric acid	5.4664719528088765	5.57880549900387	5.702152484887265	5.687482577538352	5.660263118890859	5.641919140650943	6.111026835235845	6.348738597065847	6.172923832301246	6.158141832915336	6.15817793448667	6.176679626798013
Pyroglutamic acid	6.459651241314714	6.459729512380748	6.468939164320794	6.472321976112051	6.457335330136453	6.480230723470865	6.775181397106776	6.77845381150989	6.795677765994604	6.791125955838711	6.794173000712556	6.794217222733718
Nordeoxycholic acid	7.640754138474329	7.648689755519099	7.584073731488856	7.629467954260116	7.626103799203646	7.606149651902352	6.976561644357747	6.91213814026794	6.994379286804035	6.966913698985001	6.878022035957042	6.822767598169114
Valeric acid	7.710159414381725	7.736336640112581	7.704200611826799	7.680783622407951	7.707047001549145	7.719219538589221	8.07613931931559	8.054401048797041	8.071240741867925	8.06952654094069	8.062321822694685	8.058821990272572
Isoleucine	7.090466680598632	7.1144755376666415	7.141853728238789	7.114768208688002	7.104259429025925	7.110061926598736	7.409260720797333	7.590711640651144	7.389102575793137	7.401409855885948	7.400870454476873	7.58268153216143
Isovaleric acid	7.710159414381725	7.736336640112581	7.704200611826799	7.680783622407951	7.707047001549145	7.719219538589221	8.07613931931559	8.054401048797041	8.071240741867925	8.06952654094069	8.062321822694685	8.058821990272572
N-Acetylaspartic acid	6.236657236806639	6.232187834183395	6.19299450426341	6.2661405343258965	6.238984356663124	6.240784313928614	6.60580233504676	6.590227283032787	6.598801926184677	6.610091576276425	6.58900756639874	6.611225001454201
N-Acetylmuramic acid	6.296235324395088	6.2737510819454	6.299329766108447	6.302932863251053	6.287219326644922	6.2755487886889805	6.648540809375872	6.637569794223685	6.661655489874051	6.654566247767414	6.66266270669422	6.649114018162456
Acetylglycine	5.883042847651432	5.873690701380873	5.826820340168901	5.825066375661258	5.844833448265441	5.829726284850648	6.307391062304437	6.784476938326701	6.337648765023072	6.77489776299867	6.325027744579613	6.37547603548597
Butanoic acid	7.765404112646712	7.795706781106149	7.757879345107473	7.78888966859212	7.778425641369378	7.759714272249146	8.256658535106085	8.287679894583725	8.277162632603297	8.248025166731082	8.252769247235298	8.301045348659652
Glutamate	6.511675150673411	6.526907502024192	6.556073293834335	6.526580238342838	6.55736907941572	6.577298243084636	7.638224073996126	7.663006096328243	7.646760662246229	7.642678726315159	7.664422854161725	7.668217779415904
N-Acetylcitrulline	5.05320937482569	4.9235729446205365	4.968058913007674	4.965739846441326	5.0371331303827	4.87677366407949	6.035027076669072	6.051216271775307	6.034652315281535	6.030164835258173	6.04701410090473	6.059065029108426
