Taxid	B1	B2	B3	B4	B5	B6	F1	F2	F3	F4	F5	F6
Faecalibaculum_rodentium	65.365439	57.914828	48.380961	49.234473	59.336850	49.109195	7.981846	8.426012	7.995295	10.064380	8.717313	8.052173
Lactobacillus_johnsonii	0	0	14.933874	14.734976	0	14.559284	20.712587	19.908754	19.262138	0	18.688512	20.402972
Lactobacillus_brevis	10.148903	8.517008	6.915956	6.747779	8.287750	7.151322	2.196557	2.369949	2.583551	3.128710	2.668772	2.437082
Parabacteroides_goldsteinii	0.210681	0.211936	0.163716	0.158697	0.195824	0.156283	4.106360	3.962640	4.086208	5.608794	4.091806	4.035424
Duncaniella_dubosii	1.602973	1.894172	1.367012	1.332244	1.812616	1.328194	2.372932	2.353068	2.365004	3.110407	2.370934	2.357946
Muribaculum_gordoncarteri	1.737860	1.961260	1.432247	1.430012	1.908729	1.420915	2.165256	2.206824	2.205382	2.830791	2.249941	2.168126
Parabacteroides_merdae	0.457969	1.023252	0.510563	0.503675	0.968684	0.501177	2.418309	2.452400	2.504936	3.398092	2.555950	2.448201
Bacteroides_cellulosilyticus	0.057931	0.170587	0.074349	0.076132	0.156682	0.073031	2.941057	2.899282	2.903103	3.943087	2.935033	2.930385
Bacteroides_thetaiotaomicron	0.220256	0.236219	0.173099	0.173376	0.221598	0.171305	2.719286	2.710860	2.690501	3.651622	2.734843	2.696406
Leptogranulimonas_caecicola	0	0	0	0	0	0	2.707387	2.850220	2.646253	3.440198	3.065127	2.711304
Parabacteroides_distasonis	0.567411	0.900126	0.607918	0.575132	0.865359	0.574147	1.919236	1.905036	1.934401	2.606457	1.945058	1.893942
Bacteroides_intestinalis	0.103834	0.164575	0.094101	0.092222	0.152531	0.092297	2.264699	2.247967	2.252495	3.026693	2.289170	2.245170
Limosilactobacillus_reuteri	0	0	1.198058	1.176353	0	1.163044	1.914185	1.876527	1.803266	0	1.835698	1.891042
Bacteroides_caecimuris	0.298258	0.328830	0.238961	0.234774	0.314813	0.235586	1.036573	1.037588	1.052939	1.363259	1.051407	1.029666
Enterocloster_clostridioformis	0	0	0.242097	0.234423	0	0.231604	0.425854	0.403872	0.380280	0.577509	0.445520	0.407773
Adlercreutzia_equolifaciens	0.029119	0.172729	0.047788	0.042948	0.165605	0.045121	0.312748	0.355960	0.388150	0.451047	0.405808	0.364256
Bacteroides_humanifaecis	0.046176	0.196616	0.074810	0.071753	0.186848	0.074184	0.261218	0.258856	0.250997	0.381972	0.255309	0.257218
Lachnospiraceae_bacterium	0	0	0.046796	0.045916	0	0.047226	0.237784	0.228414	0.224888	0.312968	0.246837	0.217799
