Gene ID	A1-1	A1-2	A1-3	A2-1	A2-2	A2-3	A3-1	A3-2	A3-3	A4-1	A4-2	A4-3	B1-1	B1-2	B1-3	B2-1	B2-2	B2-3	B3-1	B3-2	B3-3	B4-1	B4-2	B4-3	F1-1	F1-2	F1-3	F2-1	F2-2	F2-3	F3-1	F3-2	F3-3	F4-1	F4-2	F4-3	Y1-1	Y1-2	Y1-3	Y2-1	Y2-2	Y2-3	Gene
A1-1.tig15486.1	2.9276 	5.4919 	5.0227 	3.8277 	3.1551 	5.7081 	5.5792 	3.0601 	2.2641 	3.3275 	6.8967 	3.5396 	4.8446 	4.8054 	5.1313 	6.2452 	8.5350 	6.5177 	6.1550 	4.4212 	5.9094 	8.6421 	11.2858 	5.2192 	4.6420 	9.0102 	6.0438 	9.0890 	5.9646 	7.9860 	3.0817 	2.3967 	3.8635 	7.9161 	9.7396 	10.2327 	3.1899 	2.5540 	5.6295 	3.7607 	4.9773 	4.0440 	guaA
A2-1.tig00363.1	0.0000 	1.6427 	0.0000 	0.0000 	0.0000 	6.7235 	1.5260 	7.3564 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	4.9699 	6.2894 	0.0000 	0.0000 	2.0058 	0.0000 	2.8856 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	1.8001 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	12.5919 	8.7384 	20.2650 	21.1035 	12.6083 	11.0323 	pstA
A1-3.tig00028.3	0.8483 	1.5897 	3.0980 	1.4037 	0.9627 	0.9368 	5.8572 	3.2201 	2.9439 	2.2450 	2.6584 	0.9164 	3.6650 	2.3378 	1.9551 	4.1684 	1.3593 	3.4403 	3.2349 	1.5178 	2.7646 	1.3921 	1.9158 	0.3888 	1.0932 	1.4583 	0.7036 	0.5874 	0.4052 	0.8737 	0.5409 	0.0716 	2.2466 	1.0718 	0.3259 	1.2277 	2.3593 	2.0242 	2.0360 	3.8428 	3.7898 	3.9993 	pstB
A3-1.tig33488.1	0.2385 	1.2682 	2.6136 	1.2188 	1.1063 	1.3314 	1.2230 	1.0437 	1.3381 	0.8589 	0.8294 	1.0436 	1.2606 	1.0990 	1.5747 	2.3729 	1.5445 	2.6872 	2.0744 	1.3000 	1.3926 	1.8270 	2.7495 	1.7718 	1.9460 	3.9644 	3.0446 	2.5635 	1.3869 	3.2568 	2.3371 	1.2850 	0.9947 	2.6615 	4.7015 	5.4410 	1.1687 	0.7273 	1.8586 	0.7724 	0.8867 	1.4967 	pyrG
A2-3.tig05463.2	0.0000 	2.3678 	2.5320 	3.4542 	0.0000 	0.0000 	2.3016 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	5.7568 	2.7853 	0.0000 	0.0000 	0.0000 	0.0000 	21.1836 	7.2143 	8.6407 	7.0859 	0.0000 	0.0000 	3.3041 	0.0000 	1.8894 	0.0000 	0.0000 	2.1534 	0.0000 	0.0000 	2.1279 	0.0000 	0.0000 	0.0000 	phnC
A3-2.tig01975.4	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.7417 	0.4875 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	1.7433 	0.0000 	2.5731 	1.0180 	2.1852 	0.0000 	0.0000 	0.6323 	1.1893 	0.0000 	0.8210 	0.0000 	4.7455 	5.2970 	13.6021 	2.0805 	0.6481 	0.0000 	9.9912 	3.1778 	5.3418 	0.6076 	4.4146 	4.8802 	1.3942 	1.1898 	0.6609 	0.5841 	0.6971 	0.0000 	phoB
A1-3.tig01038.3	0.2304 	0.6531 	1.3368 	0.9243 	1.1371 	1.3602 	3.0554 	1.5343 	1.7930 	1.8966 	0.9110 	0.6650 	3.0492 	1.2092 	4.0323 	3.4144 	1.4462 	1.9382 	1.4710 	0.9789 	1.1949 	2.6646 	1.7801 	1.0958 	0.3268 	0.0000 	0.5551 	0.6982 	0.7993 	0.6461 	0.2135 	0.0840 	1.2599 	1.1109 	0.2121 	0.9733 	2.1585 	1.0565 	2.5942 	2.4548 	3.2172 	3.6131 	phnC
A3-3.tig07426.1	0.0000 	0.4050 	0.8831 	0.0000 	1.1264 	1.0185 	0.3298 	0.4013 	0.4304 	0.0000 	1.0674 	0.0000 	1.5791 	0.6246 	0.0000 	1.3569 	0.8901 	1.4290 	2.2570 	0.4277 	1.2135 	1.5880 	2.7827 	1.2659 	2.8201 	4.1779 	4.5929 	2.3401 	1.3414 	3.0293 	2.5573 	0.7064 	1.6164 	1.2307 	7.0465 	4.7873 	0.6318 	0.0000 	0.4425 	1.1818 	0.9385 	0.5624 	phnI
B1-2.tig04679.1	0.3688 	0.6864 	1.6084 	0.8707 	0.4430 	0.9401 	3.8800 	1.2457 	2.2829 	1.3151 	2.8424 	0.8475 	2.4465 	1.4497 	1.7968 	3.2221 	1.0707 	1.3716 	1.5991 	1.2263 	1.3586 	1.3372 	2.1410 	1.0189 	0.5771 	0.3936 	0.4844 	0.7180 	0.0000 	0.4024 	0.5736 	0.0954 	0.3177 	1.5023 	0.4510 	1.1254 	2.8727 	3.1720 	1.9561 	2.0874 	3.2679 	3.3532 	ppk
A3-3.tig15079.1	0.0000 	0.3266 	0.7000 	0.3919 	1.4925 	1.6401 	1.0552 	1.2879 	0.6892 	0.5502 	0.8621 	0.8140 	0.6238 	0.2474 	0.7143 	1.3485 	0.9523 	0.8520 	1.4417 	0.3406 	0.3204 	0.8389 	2.6434 	1.3674 	1.1194 	3.6424 	3.2939 	2.9522 	3.9586 	3.6000 	2.3170 	1.2421 	1.5996 	0.9761 	2.9273 	5.3412 	0.2544 	0.3199 	0.6957 	0.9371 	0.3700 	0.4423 	purB
