Gene ID	Tax
A1-1.tig15486.1	Burkholderiaceae_bacterium
A2-1.tig00363.1	Klebsiella_pneumoniae
A1-3.tig00028.3	Lentzea_terrae
A3-1.tig33488.1	Variovorax_sp
A2-3.tig05463.2	Kocuria_turfanensis
A3-2.tig01975.4	Actinoplanes_sp
A1-3.tig01038.3	Lentzea_jiangxiensis
A3-3.tig07426.1	Variovorax_sp
B1-2.tig04679.1	Lentzea_sp
A3-3.tig15079.1	Variovorax_sp
A2-3.tig12925.1	Kocuria_turfanensis
A3-2.tig01828.4	Micromonospora_sp
B2-3.tig04494.1	Variovorax_sp
A3-3.tig11526.1	Pseudoxanthomonas_mexicana
A3-2.tig02603.3	Actinoplanes_sp
B3-2.tig05506.2	JAKPBU01_sp022662495
B3-3.tig20516.2	Actinoplanes_sp
A3-1.tig33215.1	Variovorax_sp
A2-1.tig09579.1	Lentzea_sp
B3-3.tig06017.1	Actinoplanes_aureus
B3-3.tig03731.4	Actinoplanes_sp
A3-2.tig00325.5	Actinoplanes_friuliensis
A2-3.tig29931.1	Kocuria_turfanensis
A2-3.tig08337.1	Kocuria_rosea
A3-1.tig08556.2	Stigmatella_aurantiaca
B2-3.tig10985.1	Variovorax_sp
B3-3.tig08797.2	Actinoplanes_friuliensis
A2-3.tig06242.2	Kocuria_turfanensis
A2-2.tig00646.4	Oscillatoriaceae
B3-3.tig07209.1	Actinoplanes_digitatis
B3-3.tig04026.1	Actinoplanes_digitatis
A2-3.tig00789.1	Kocuria_sp031179495
B3-3.tig08758.3	Micromonosporaceae
B1-1.tig17462.1	Caulobacteraceae
A3-2.tig07163.1	Actinoplanes_sp
Y2-3.tig11440.1	Chitinophagaceae
A3-3.tig17976.1	Variovorax_sp
A3-2.tig09704.2	Streptomyces_yangpuensis
A3-1.tig17974.1	Microbispora_sitophila
A1-1.tig23018.1	Myxococcales_bacterium
A2-1.tig10562.1	Lentzea_sp
B3-3.tig04194.1	Actinoplanes_friuliensis
